STATE,TYPE OF PRODUCER,GENERATION(Mwh)
AK,"Combined Heat and Power, Commercial Power",350962
AK,"Combined Heat and Power, Electric Power",199567
AK,"Combined Heat and Power, Industrial Power",111166
AK,"Electric Generators, Electric Utilities",5229885
AK,"Electric Generators, Independent Power Producers",51947
AL,"Combined Heat and Power, Electric Power",4031284
AL,"Combined Heat and Power, Industrial Power",4640626
AL,"Electric Generators, Electric Utilities",107332202
AL,"Electric Generators, Independent Power Producers",26951021
AR,"Combined Heat and Power, Commercial Power",62136
AR,"Combined Heat and Power, Electric Power",1023489
AR,"Combined Heat and Power, Industrial Power",1196173
AR,"Electric Generators, Electric Utilities",53337372
AR,"Electric Generators, Independent Power Producers",4610967
AZ,"Combined Heat and Power, Commercial Power",154108
AZ,"Combined Heat and Power, Electric Power",52607
AZ,"Electric Generators, Electric Utilities",86348455
AZ,"Electric Generators, Independent Power Producers",22053365
CA,"Combined Heat and Power, Commercial Power",2400830
CA,"Combined Heat and Power, Electric Power",12417290
CA,"Combined Heat and Power, Industrial Power",13513448
CA,"Electric Generators, Electric Utilities",61737283
CA,"Electric Generators, Independent Power Producers",106658255
CO,"Combined Heat and Power, Commercial Power",36299
CO,"Combined Heat and Power, Electric Power",36629
CO,"Combined Heat and Power, Industrial Power",256188
CO,"Electric Generators, Electric Utilities",41364397
CO,"Electric Generators, Independent Power Producers",15044204
CT,"Combined Heat and Power, Commercial Power",316117
CT,"Combined Heat and Power, Electric Power",123788
CT,"Combined Heat and Power, Industrial Power",612115
CT,"Electric Generators, Electric Utilities",94322
CT,"Electric Generators, Independent Power Producers",42977227
DC,"Combined Heat and Power, Commercial Power",192256
DC,"Electric Generators, Independent Power Producers",25982
DE,"Combined Heat and Power, Commercial Power",5393
DE,"Combined Heat and Power, Electric Power",120682
DE,"Combined Heat and Power, Industrial Power",911931
DE,"Electric Generators, Electric Utilities",27602
DE,"Electric Generators, Independent Power Producers",2974363
FL,"Combined Heat and Power, Commercial Power",94938
FL,"Combined Heat and Power, Electric Power",1687471
FL,"Combined Heat and Power, Industrial Power",4627609
FL,"Electric Generators, Electric Utilities",227993630
FL,"Electric Generators, Independent Power Producers",9997385
GA,"Combined Heat and Power, Commercial Power",4711
GA,"Combined Heat and Power, Electric Power",527596
GA,"Combined Heat and Power, Industrial Power",5095129
GA,"Electric Generators, Electric Utilities",102646392
GA,"Electric Generators, Independent Power Producers",18256917
HI,"Combined Heat and Power, Commercial Power",364607
HI,"Combined Heat and Power, Electric Power",2294287
HI,"Combined Heat and Power, Industrial Power",221674
HI,"Electric Generators, Electric Utilities",4721460
HI,"Electric Generators, Independent Power Producers",1586065
IA,"Combined Heat and Power, Commercial Power",142153
IA,"Combined Heat and Power, Electric Power",4065
IA,"Combined Heat and Power, Industrial Power",2065820
IA,"Electric Generators, Electric Utilities",54854479
IA,"Electric Generators, Independent Power Producers",9053749
ID,"Combined Heat and Power, Commercial Power",68356
ID,"Combined Heat and Power, Electric Power",67389
ID,"Combined Heat and Power, Industrial Power",549112
ID,"Electric Generators, Electric Utilities",10963688
ID,"Electric Generators, Independent Power Producers",5300045
IL,"Combined Heat and Power, Commercial Power",479423
IL,"Combined Heat and Power, Electric Power",678169
IL,"Combined Heat and Power, Industrial Power",2604843
IL,"Electric Generators, Electric Utilities",4449699
IL,"Electric Generators, Independent Power Producers",173647234
IN,"Combined Heat and Power, Commercial Power",252338
IN,"Combined Heat and Power, Electric Power",7702676
IN,"Combined Heat and Power, Industrial Power",4635236
IN,"Electric Generators, Electric Utilities",60991576
IN,"Electric Generators, Independent Power Producers",20983341
KS,"Combined Heat and Power, Commercial Power",14183
KS,"Combined Heat and Power, Industrial Power",227115
KS,"Electric Generators, Electric Utilities",33280052
KS,"Electric Generators, Independent Power Producers",23224603
KY,"Combined Heat and Power, Industrial Power",488379
KY,"Electric Generators, Electric Utilities",69475329
KY,"Electric Generators, Independent Power Producers",590555
LA,"Combined Heat and Power, Commercial Power",178332
LA,"Combined Heat and Power, Electric Power",2744341
LA,"Combined Heat and Power, Industrial Power",27210836
LA,"Electric Generators, Electric Utilities",63497633
LA,"Electric Generators, Independent Power Producers",4430822
MA,"Combined Heat and Power, Commercial Power",615109
MA,"Combined Heat and Power, Electric Power",1545819
MA,"Combined Heat and Power, Industrial Power",205260
MA,"Electric Generators, Electric Utilities",475936
MA,"Electric Generators, Independent Power Producers",16524875
MD,"Combined Heat and Power, Commercial Power",903741
MD,"Combined Heat and Power, Electric Power",2354505
MD,"Combined Heat and Power, Industrial Power",48121
MD,"Electric Generators, Electric Utilities",3471174
MD,"Electric Generators, Independent Power Producers",32941750
ME,"Combined Heat and Power, Commercial Power",97588
ME,"Combined Heat and Power, Electric Power",383725
ME,"Combined Heat and Power, Industrial Power",1791822
ME,"Electric Generators, Electric Utilities",2757
